収支区分,発生日,勘定科目,金額,税区分,備考,品目,決済状況,決済口座,決済金額,決済日
支出,2023-05-01,新聞図書費,980,,JCB海外利用 AMAZON DOWNLOADS,,未決済,,,
支出,2023-05-07,新聞図書費,1296,,JCB海外利用 AMAZON DOWNLOADS,,未決済,,,
支出,2023-05-30,新聞図書費,1200,,AMAZON.CO.JP,,完了,NTTファイナンスBizカード,1200.0,2023-05-30
支出,2023-06-05,新聞図書費,1370,,JCB海外利用 AMAZON DOWNLOADS,,未決済,,,
支出,2023-06-18,新聞図書費,990,,AMAZON.CO.JP,,完了,NTTファイナンスBizカード,990.0,2023-06-18
支出,2023-12-18,新聞図書費,1650,,AMAZON.CO.JP「はじめての目標達成ノート」,,完了,NTTファイナンスBizカード,1650.0,2023-12-18
支出,2023-04-03,研究開発費,3850,,競合他社：掛け時計,,完了,NTTファイナンスBizカード,3850.0,2023-04-03
支出,2023-05-15,研究開発費,1178,,競合他社ウォールステッカー,,完了,NTTファイナンスBizカード,1178.0,2023-05-15
支出,2023-07-12,研究開発費,784,,食事スタイ　競合調査,,完了,NTTファイナンスBizカード,784.0,2023-07-12
支出,2023-07-12,研究開発費,1024,,食事スタイ　競合調査,,完了,NTTファイナンスBizカード,1024.0,2023-07-12
支出,2023-07-13,研究開発費,1690,,食事スタイ　競合調査,,完了,NTTファイナンスBizカード,1690.0,2023-07-13
支出,2023-07-13,研究開発費,1674,,食事スタイ　競合調査,,完了,NTTファイナンスBizカード,1674.0,2023-07-13
支出,2023-07-13,研究開発費,998,,食事スタイ　競合調査,,完了,NTTファイナンスBizカード,998.0,2023-07-13
支出,2023-07-13,研究開発費,1054,,食事スタイ　競合調査,,完了,NTTファイナンスBizカード,1054.0,2023-07-13
支出,2023-07-13,研究開発費,1054,,食事スタイ　競合調査,,完了,NTTファイナンスBizカード,1054.0,2023-07-13
支出,2023-08-19,研究開発費,1500,,みずほ銀行 芝支店 当座預金 0108684 カ)オ-シ-エス(依頼人名:カイテキブツパン ダイニンコウヘイ 振込予定日:2023年10月15日 管理番号:20231015-13131596),,完了,楽天銀行（個人ビジネス） 239 スネア支店 普通 ***8237,1500.0,2023-08-19
支出,2023-08-19,研究開発費,4094,,お食事エプロンサンプル（198.44元×20.63円／元）,,完了,ESPRIME,4094.0,2023-08-19
支出,2023-09-15,研究開発費,2393,,お食事エプロンサンプル（116元×20.63円／元、内訳：77元+2×17元+5元、※最初の0.5KGは77元、その後各0.5KGごとに17元、テープ代1×5元,,完了,ESPRIME,2393.0,2023-09-15
支出,2023-11-02,研究開発費,9900,,株式会社クラウドワ-クス（エプロン開発　アンケート）,,完了,NTTファイナンスBizカード,9900.0,2023-11-02
支出,2023-12-15,研究開発費,4126,,お食事エプロン　工場１サンプル（200元×20.63円／元）,,完了,ESPRIME,4126.0,2023-12-15
支出,2023-12-15,研究開発費,248,,お食事エプロン　工場１サンプル国内送料（12元×20.63円／元）,,完了,ESPRIME,248.0,2023-12-15
支出,2023-06-21,雑費,24376,,YP為替差損（1219元×20円／元）,,完了,YP,24376.0,2023-06-21
支出,2023-08-11,雑費,57956,,電動昇降デスク　FLEXISPOT,,完了,NTTファイナンスBizカード,57956.0,2023-08-11
支出,2023-09-07,雑費,14725,,THE直行便引き落とし　為替手数料他差額（717元×20.53円／元）,,完了,THE直行便,14725.0,2023-09-07
支出,2023-09-07,雑費,3762,,ベランダ保管ケース,,完了,NTTファイナンスBizカード,3762.0,2023-09-07
支出,2023-09-12,雑費,1882,,ベランダ収納,,未決済,,,
支出,2023-09-18,雑費,1457,,デスク　配線カバー,,完了,NTTファイナンスBizカード,1457.0,2023-09-18
支出,2023-09-18,雑費,1380,,デスクトップ　電源ケーブル,,完了,NTTファイナンスBizカード,1380.0,2023-09-18
支出,2023-09-18,雑費,3798,,HDMIケーブル、電源タップ,,完了,NTTファイナンスBizカード,3798.0,2023-09-18
支出,2023-09-19,雑費,2100,,Amazon　ベランダスリッパ,,完了,NTTファイナンスBizカード,2100.0,2023-09-19
支出,2023-10-11,雑費,31500,,特許登録料：cotobox「KAZAROOM」登録料5年、特許印紙代,,未決済,,,
支出,2023-10-13,雑費,3000,,Amazon フリクションボールペン,,未決済,,,
